Date,Open,High,Low,Close,Adj Close,Volume
2017-04-21,4.262950,4.282100,4.257670,4.262730,4.262730,0
2017-04-24,4.256170,4.260590,4.221000,4.256240,4.256240,0
2017-04-25,4.243740,4.245900,4.217000,4.245000,4.245000,0
2017-04-26,4.220500,4.228500,4.218000,4.219650,4.219650,0
2017-04-27,4.224890,4.230200,4.215000,4.224140,4.224140,0
2017-04-28,4.218570,4.228390,4.210000,4.218840,4.218840,0
2017-05-01,4.222800,4.226900,4.208360,4.222800,4.222800,0
2017-05-02,4.221890,4.226110,4.200000,4.221840,4.221840,0
2017-05-03,4.197500,4.207900,4.184000,4.200500,4.200500,0
2017-05-04,4.203800,4.222790,4.196000,4.202680,4.202680,0
2017-05-05,4.228000,4.229900,4.200000,4.227420,4.227420,0
2017-05-08,4.203280,4.226390,4.185000,4.202910,4.202910,0
2017-05-09,4.229560,4.238450,4.213000,4.229360,4.229360,0
2017-05-10,4.232890,4.234100,4.206570,4.231800,4.231800,0
2017-05-11,4.208990,4.228690,4.205000,4.209200,4.209200,0
2017-05-12,4.222630,4.226510,4.210000,4.223270,4.223270,0
2017-05-15,4.209200,4.216000,4.194000,4.208500,4.208500,0
2017-05-16,4.196130,4.203410,4.184000,4.195080,4.195080,0
2017-05-17,4.169500,4.196310,4.167800,4.169570,4.169570,0
2017-05-18,4.193580,4.228210,4.189920,4.194700,4.194700,0
2017-05-19,4.216500,4.220500,4.194000,4.215500,4.215500,0
2017-05-22,4.189750,4.200730,4.183000,4.190990,4.190990,0
2017-05-23,4.196490,4.206900,4.192690,4.197900,4.197900,0
2017-05-24,4.203400,4.203900,4.174000,4.202590,4.202590,0
2017-05-25,4.174170,4.181710,4.160000,4.174320,4.174320,0
2017-05-26,4.174200,4.186490,4.165000,4.173450,4.173450,0
2017-05-29,4.181300,4.187700,4.168650,4.178400,4.178400,0
2017-05-30,4.174810,4.188100,4.167000,4.175860,4.175860,0
2017-05-31,4.172680,4.186140,4.165000,4.172600,4.172600,0
2017-06-01,4.179600,4.195560,4.174000,4.178650,4.178650,0
2017-06-02,4.192400,4.194500,4.177000,4.192400,4.192400,0
2017-06-05,4.184000,4.195200,4.173870,4.182370,4.182370,0
2017-06-06,4.184690,4.203390,4.184000,4.184390,4.184390,0
2017-06-07,4.194000,4.199790,4.186000,4.194190,4.194190,0
2017-06-08,4.206990,4.211600,4.191000,4.206010,4.206010,0
2017-06-09,4.197930,4.209240,4.178000,4.197800,4.197800,0
2017-06-12,4.184600,4.196830,4.174000,4.184600,4.184600,0
2017-06-13,4.191200,4.195440,4.186000,4.191700,4.191700,0
2017-06-14,4.191030,4.203700,4.186000,4.192500,4.192500,0
2017-06-15,4.196620,4.240850,4.190000,4.196900,4.196900,0
2017-06-16,4.227500,4.231400,4.205000,4.230300,4.230300,0
2017-06-19,4.208100,4.219600,4.202000,4.209000,4.209000,0
2017-06-20,4.216170,4.245610,4.209000,4.216140,4.216140,0
2017-06-21,4.245410,4.257200,4.231000,4.246600,4.246600,0
2017-06-22,4.253030,4.260180,4.230000,4.253300,4.253300,0
2017-06-23,4.232280,4.242100,4.218000,4.234300,4.234300,0
2017-06-26,4.220990,4.224550,4.201000,4.222500,4.222500,0
2017-06-27,4.202300,4.223940,4.199000,4.201520,4.201520,0
2017-06-28,4.235290,4.246670,4.218000,4.235220,4.235220,0
2017-06-29,4.232200,4.248800,4.225000,4.233550,4.233550,0
2017-06-30,4.240800,4.243770,4.216000,4.240300,4.240300,0
2017-07-03,4.227370,4.246390,4.224000,4.229800,4.229800,0
2017-07-04,4.247250,4.249700,4.231000,4.247990,4.247990,0
2017-07-05,4.235590,4.251500,4.233000,4.235730,4.235730,0
2017-07-06,4.229680,4.249700,4.225200,4.228640,4.228640,0
2017-07-07,4.237850,4.242450,4.225000,4.238340,4.238340,0
2017-07-10,4.238700,4.239480,4.225000,4.236660,4.236660,0
2017-07-11,null,null,null,null,null,null
2017-07-12,4.235710,4.246910,4.228000,4.236320,4.236320,0
2017-07-13,4.229590,4.235440,4.214000,4.230030,4.230030,0
2017-07-14,4.222470,4.224500,4.199000,4.222870,4.222870,0
2017-07-17,4.203160,4.212560,4.198000,4.203200,4.203200,0
